date,timestamp,unix_timestamp,asset,open,high,low,close,volume,mid_price,price_range,price_range_pct,return_1d,return_1d_bps,log_return_1d,return_overnight,return_intraday,volatility_7d,volatility_14d,volatility_30d,sma_7,sma_14,sma_30,price_vs_sma_7,price_vs_sma_14,price_vs_sma_30,price_percentile_30d,price_percentile_60d,price_percentile_90d,implied_move_1d,support_level,resistance_level,distance_to_support,distance_to_resistance,gap_size,gap_size_pct,is_gap_up,is_gap_down,volume_ratio,dollar_volume,vwap_approx,upper_wick,lower_wick,body_size,body_size_pct,is_local_high,is_local_low
2025-06-23,2025-06-23T00:00:00Z,1750636800,ETH,2226.21,2431.37,2189.67,2410.4,744470.0,2310.52,241.69999999999982,10.027381347494185,0.08201283835345885,820.1283835345885,0.07882304574526336,-0.0006688512815907806,0.08273702840253168,84.22549689491647,69.56577976028714,64.68605253828652,2413.7942857142853,2523.215714285714,2547.389,-0.14062033928797418,-4.471108579697891,-5.3776239121704625,13.333333333333334,31.666666666666664,54.44444444444444,8161.187122002704,2115.47,2877.99,12.235728509790917,19.39885496183205,-1.4899999999997817,-0.06688512815907806,False,False,1.2629152209611094,1794470488.0,2343.8133333333335,20.9699999999998,36.539999999999964,184.19000000000005,7.64147029538666,False,False
2025-06-24,2025-06-24T00:00:00Z,1750723200,ETH,2413.23,2479.15,2377.17,2448.81,516640.0,2428.16,101.98000000000002,4.164471723000152,0.015935114503816683,159.35114503816683,0.015809483439572895,0.0011740789910388014,0.01474372521475364,85.56339397984057,63.4880162338494,64.8729263343175,2405.1228571428574,2496.995,2543.975,1.8164204263993529,-1.9297195228664834,-3.7407993396161507,20.0,33.33333333333333,55.55555555555556,8315.189416147492,2115.47,2877.99,13.612325986907933,17.52606367990983,2.8299999999999272,0.11740789910388014,False,False,0.8687332374874938,1265153198.3999999,2435.043333333333,30.340000000000146,36.059999999999945,35.57999999999993,1.4529506168302124,False,False
2025-06-25,2025-06-25T00:00:00Z,1750809600,ETH,2448.52,2467.11,2393.46,2418.49,415150.0,2430.285,73.65000000000009,3.0452885891610095,-0.012381524087209828,-123.81524087209827,-0.012458813795468983,-0.00011842486758873233,-0.012264551647525934,85.4361135183755,63.422429965352265,64.96069874610217,2389.8528571428574,2471.738571428571,2539.1283333333336,1.1982805875077596,-2.1542962530133445,-4.7511711696336905,20.0,31.666666666666664,54.44444444444444,8223.34576840987,2115.47,2877.99,12.529305475730727,18.999458339707836,-0.2899999999999636,-0.011842486758873233,False,False,0.6960414858497551,1004036123.4999999,2426.353333333333,18.590000000000146,25.029999999999745,30.0300000000002,1.2416838605907077,False,False
2025-06-26,2025-06-26T00:00:00Z,1750896000,ETH,2418.59,2520.24,2394.33,2415.8,463700.0,2457.285,125.90999999999985,5.211938074343896,-0.0011122642640654101,-11.122642640654101,-0.0011128832890174277,4.1348113905934616e-05,-0.0011535646802475672,85.45198932266909,60.10500106041502,63.40566730919577,2374.807142857143,2455.4635714285714,2530.9616666666666,1.7261552065882084,-1.615319074169577,-4.550115008985375,20.0,30.0,53.333333333333336,8017.567451476979,2115.47,2877.99,12.431906614786008,19.131964566603177,0.1000000000003638,0.004134811390593462,False,False,0.7922617932305498,1120206460.0,2443.4566666666665,101.64999999999964,21.470000000000255,2.7899999999999636,0.11548969285536731,True,False
2025-06-27,2025-06-27T00:00:00Z,1750982400,ETH,2415.32,2462.87,2389.02,2422.64,381290.0,2425.9449999999997,73.84999999999991,3.0483274444407717,0.002831360211937861,28.31360211937861,0.002827359461544195,-0.00019869194469741624,0.003030654323236552,78.45166020068628,59.35241558912034,63.327820361098155,2377.112857142857,2444.307142857143,2522.339333333333,1.915228497475023,-0.8864329067834088,-3.9526534759134853,26.666666666666668,31.666666666666664,54.44444444444444,8030.396552665263,2115.47,2877.99,12.679143413796524,18.795611399134827,-0.4800000000000182,-0.019869194469741624,False,False,0.6581602445596356,923728405.5999999,2424.843333333333,40.23000000000002,26.300000000000182,7.319999999999709,0.30214972096554626,False,True
2025-06-28,2025-06-28T00:00:00Z,1751068800,ETH,2423.2,2447.75,2406.31,2435.61,156020.0,2427.0299999999997,41.440000000000055,1.7014218204063891,0.005353663771753281,53.53663771753281,0.0053393838577614665,0.0002311527919954865,0.005121327170683522,67.49883560452766,58.97418295673064,63.12584543020504,2397.0642857142857,2437.4657142857145,2515.8196666666668,1.608038404119331,-0.07613293901277257,-3.1882120856834053,30.0,31.666666666666664,54.44444444444444,8047.639689603547,2115.47,2877.99,13.144140482261129,18.163006392649052,0.5599999999999454,0.02311527919954865,False,False,0.2798687177377548,380003872.20000005,2429.89,12.139999999999873,16.889999999999873,12.41000000000031,0.5095232816419832,False,False
2025-06-29,2025-06-29T00:00:00Z,1751155200,ETH,2435.62,2522.78,2414.06,2500.67,284270.0,2468.42,108.72000000000025,4.347634833864535,0.02671199412056935,267.11994120569346,0.026361457460223336,4.10574763601871e-06,0.02670777871753401,59.65436181755687,60.703498523543956,62.524742321533274,2436.06,2434.112857142857,2514.795666666667,2.6522335246258355,2.734349094037784,-0.5617023622992883,40.0,40.0,60.0,8183.929176594111,2115.47,2877.99,15.403871762367697,15.088756213334815,0.009999999999763531,0.000410574763601871,False,False,0.5249518481744779,710865460.9,2479.17,22.110000000000127,21.559999999999945,65.05000000000018,2.601302850835983,True,False
2025-06-30,2025-06-30T00:00:00Z,1751241600,ETH,2500.49,2522.0,2435.35,2486.64,440430.0,2478.675,86.65000000000009,3.484621819000744,-0.005610496386968422,-56.10496386968422,-0.0056262943391012085,-7.198070917005884e-05,-0.005538914372782899,25.229486236735806,60.74010345603201,62.5549820255419,2446.9514285714286,2430.3728571428574,2513.4153333333334,1.6219599198069157,2.3151650452223236,-1.0652968086187171,40.0,35.0,56.666666666666664,8141.9491711856845,2115.47,2877.99,14.9265675771322,15.738104430074316,-0.18000000000029104,-0.007198070917005884,False,False,0.8110362658043702,1095190855.2,2481.33,21.51000000000022,51.289999999999964,13.849999999999909,0.5569764823215225,False,False
2025-07-01,2025-07-01T00:00:00Z,1751328000,ETH,2485.46,2500.0,2389.61,2405.22,352090.0,2444.8050000000003,110.38999999999987,4.5896009512643285,-0.032742978476981044,-327.42978476981045,-0.03329102616395096,-0.00047453591995618035,-0.03228376236189689,34.59428434339057,62.70064101563161,63.56410885409496,2440.7242857142855,2422.9235714285714,2509.005666666667,-1.4546618772998894,-0.7306698253851032,-4.136525797669931,10.0,16.666666666666664,44.44444444444444,8002.401495217225,2115.47,2784.47,12.046715061408104,15.767788393577304,-1.1799999999998363,-0.047453591995618036,False,False,0.6475528025248104,846853909.8,2431.61,14.539999999999964,15.609999999999673,80.24000000000024,3.3360773650643285,False,False
2025-07-02,2025-07-02T00:00:00Z,1751414400,ETH,2405.0,2618.24,2382.19,2570.42,634890.0,2500.215,236.04999999999973,9.183324126018306,0.06868394575132442,686.8394575132442,0.06642793421385663,-9.146772436608706e-05,0.06878170478170481,60.34096951137092,72.49451958190812,67.42433042898935,2462.4285714285716,2426.1407142857142,2507.7916666666665,4.385565933747169,5.946863875814533,2.497349926063777,76.66666666666667,75.0,83.33333333333334,9071.39967368367,2115.47,2678.87,17.69944211451826,4.219154846289705,-0.2199999999997999,-0.009146772436608707,False,False,1.1559189053705832,1631933953.8,2523.616666666667,47.81999999999971,22.809999999999945,165.42000000000007,6.435524155585472,False,True
2025-07-03,2025-07-03T00:00:00Z,1751500800,ETH,2571.27,2633.7,2557.31,2591.01,504900.0,2595.505,76.38999999999987,2.948271137510078,0.00801036406501665,80.10364065016651,0.007978451406851814,0.0003306852576621365,0.007677140090305661,59.752998168744064,72.52817714749227,67.44963117244168,2487.4585714285713,2431.132857142857,2507.722,4.1629408328983075,6.576240471079631,3.321261288133214,83.33333333333334,78.33333333333333,85.55555555555556,9147.49616591861,2115.47,2678.87,18.353460619603954,3.390955650499213,0.849999999999909,0.03306852576621365,False,False,0.9164426029946685,1308200949.0,2594.0066666666667,42.6899999999996,13.960000000000036,19.740000000000236,0.7618650642027717,True,False
2025-07-04,2025-07-04T00:00:00Z,1751587200,ETH,2591.26,2601.0,2474.63,2508.04,452720.0,2537.815,126.36999999999989,5.0385958756638605,-0.032022261589110146,-320.22261589110144,-0.03254618947941812,9.648747013712799e-05,-0.032115650301397874,67.2862661336086,70.31761295797743,68.368223688715,2499.6585714285716,2438.3857142857146,2504.412666666666,0.33530293565806246,2.8565737285206114,0.14483768516319365,50.0,36.666666666666664,57.77777777777777,8975.162549232327,2115.47,2678.87,15.652461683226749,6.811294875679811,0.25,0.0096487470137128,False,False,0.8242122357430508,1135439868.8,2527.89,9.739999999999782,33.409999999999854,83.22000000000025,3.31812889746576,False,False
2025-07-05,2025-07-05T00:00:00Z,1751673600,ETH,2508.04,2529.66,2487.96,2516.34,157190.0,2508.81,41.69999999999982,1.6571687450821357,0.00330935710754221,33.093571075422105,0.0033038932365911417,0.0,0.003309357107542217,67.30485567533836,64.86691418521737,63.027648265613436,2511.191428571429,2454.127857142857,2507.820666666667,0.20502504787141165,2.5350000683978915,0.3397106278997559,56.666666666666664,41.66666666666667,61.111111111111114,8301.450674006986,2115.47,2678.87,15.930677094510292,6.458984080052764,0.0,0.0,False,False,0.2979617136542249,395543484.6,2511.32,13.319999999999709,20.079999999999927,8.300000000000182,0.3298441387094026,False,False
2025-07-06,2025-07-06T00:00:00Z,1751760000,ETH,2516.41,2600.69,2503.63,2570.55,277600.0,2552.16,97.05999999999995,3.7758456361479036,0.02154319368606794,215.4319368606794,0.02131441894943153,2.781818037296588e-05,0.021514777003747532,66.39682025267561,61.912050357499446,62.8631111491901,2521.174285714286,2478.617142857143,2510.9956666666667,1.9584411345733483,3.7090382194680047,2.371741780518146,80.0,73.33333333333333,82.22222222222221,8458.152172643273,2115.47,2633.7,17.7036042870203,2.456672696504625,0.06999999999970896,0.002781818037296588,False,False,0.5364147552704296,713584680.0,2558.29,30.139999999999873,12.779999999999745,54.14000000000033,2.106164050495043,False,False
2025-07-07,2025-07-07T00:00:00Z,1751846400,ETH,2570.79,2589.29,2517.86,2542.3,315710.0,2553.575,71.42999999999984,2.8096605436022433,-0.010989865981988256,-109.89865981988257,-0.011050700679857885,9.336523312123153e-05,-0.011082196523247633,67.0036665443818,48.64731527051162,62.66386707687969,2529.1257142857144,2488.0385714285717,2511.5843333333332,0.5209027625582681,2.18089177533421,1.2229597970895774,70.0,61.66666666666667,74.44444444444444,8338.68479238855,2115.47,2633.7,16.78912795500139,3.5951697281988606,0.23999999999978172,0.009336523312123153,False,False,0.6080623001759093,802629533.0,2549.8166666666666,18.5,24.440000000000055,28.48999999999978,1.120638791645352,False,False
2025-07-08,2025-07-08T00:00:00Z,1751932800,ETH,2542.29,2627.15,2523.98,2614.47,370800.0,2575.565,103.17000000000007,3.946115273841355,0.02838768044683926,283.8768044683926,0.027992216997937126,-3.933446092207166e-06,0.028391725570253525,61.06331281299012,49.8967707334689,63.34450545718746,2559.0185714285717,2499.871428571429,2515.072333333333,2.166902155011417,4.584178614900165,3.9520798407786053,86.66666666666667,85.0,90.0,8668.544450160745,2115.47,2633.7,19.08608628134957,0.7355219222251553,-0.010000000000218279,-0.0003933446092207166,False,False,0.7094147965661876,969445475.9999999,2588.5333333333333,12.680000000000291,18.309999999999945,72.17999999999984,2.760788993562743,False,False
2025-07-09,2025-07-09T00:00:00Z,1752019200,ETH,2615.25,2792.95,2590.34,2768.34,686170.0,2691.645,202.60999999999967,7.318826444728598,0.058853228378983324,588.5322837898333,0.05718646247117744,0.00029833962523960884,0.05853742472039008,55.73270157140232,55.83416456473105,62.23233045996624,2587.292857142857,2524.8607142857145,2518.012333333333,6.997551218731118,9.643275937427944,9.941478973428396,93.33333333333333,96.66666666666667,97.77777777777777,9017.56040856968,2115.47,2792.95,23.5834471199347,0.8889803998063703,0.7800000000002001,0.029833962523960884,False,False,1.3030185447407616,1899551857.8000002,2717.21,24.609999999999673,24.909999999999854,153.09000000000015,5.530028825939015,False,False
