"Date","Price","Open","High","Low","Vol.","Change %"
"07-03-2024","3,869.87","3,820.12","3,933.05","3,736.25","541.01K","1.45%"
"06-03-2024","3,814.40","3,557.20","3,899.99","3,503.46","969.69K","7.27%"
"05-03-2024","3,555.91","3,626.55","3,820.49","3,235.32","1.39M","-1.95%"
"04-03-2024","3,626.60","3,487.97","3,638.59","3,445.56","715.33K","3.95%"
"03-03-2024","3,488.68","3,420.54","3,491.57","3,364.37","341.60K","1.99%"
"02-03-2024","3,420.67","3,433.89","3,460.03","3,395.03","284.06K","-0.37%"
"01-03-2024","3,433.54","3,342.62","3,449.64","3,339.80","412.77K","2.82%"
"29-02-2024","3,339.21","3,383.20","3,520.87","3,300.32","759.82K","-1.30%"
"28-02-2024","3,383.06","3,242.54","3,482.96","3,183.07","947.43K","4.34%"
"27-02-2024","3,242.22","3,177.19","3,285.72","3,166.00","625.92K","2.08%"
"26-02-2024","3,176.05","3,114.35","3,194.20","3,038.08","546.75K","2.04%"
"25-02-2024","3,112.60","2,992.66","3,117.97","2,984.24","412.28K","4.02%"
"24-02-2024","2,992.27","2,923.79","3,006.00","2,907.22","243.86K","2.40%"
"23-02-2024","2,922.24","2,971.99","2,992.83","2,906.41","428.92K","-1.69%"
"22-02-2024","2,972.55","2,968.58","3,031.85","2,907.22","563.65K","0.04%"
"21-02-2024","2,971.31","3,015.73","3,016.96","2,871.94","595.82K","-1.47%"
"20-02-2024","3,015.58","2,944.98","3,030.91","2,880.02","634.88K","2.40%"
"19-02-2024","2,944.99","2,882.01","2,983.95","2,859.99","446.28K","2.25%"
"18-02-2024","2,880.29","2,786.42","2,892.81","2,765.95","367.94K","3.39%"
"17-02-2024","2,785.92","2,802.41","2,804.20","2,721.19","243.30K","-0.57%"
"16-02-2024","2,801.80","2,823.25","2,857.01","2,759.59","378.10K","-0.74%"
"15-02-2024","2,822.59","2,774.51","2,864.68","2,760.99","481.80K","1.71%"
"14-02-2024","2,775.12","2,640.00","2,785.50","2,619.76","461.61K","5.12%"
"13-02-2024","2,640.02","2,661.81","2,686.12","2,597.06","502.63K","-0.67%"
"12-02-2024","2,657.80","2,507.30","2,663.57","2,473.52","449.27K","6.03%"
"11-02-2024","2,506.63","2,500.35","2,537.77","2,493.76","219.97K","0.26%"
"10-02-2024","2,500.23","2,488.13","2,515.90","2,472.91","185.11K","0.57%"
"09-02-2024","2,486.15","2,420.81","2,522.91","2,419.16","492.37K","2.75%"
"08-02-2024","2,419.56","2,425.67","2,461.00","2,411.97","338.17K","-0.21%"
"07-02-2024","2,424.66","2,372.66","2,443.71","2,354.44","342.80K","2.19%"
"06-02-2024","2,372.64","2,301.84","2,390.54","2,299.24","368.91K","3.08%"
"05-02-2024","2,301.84","2,289.27","2,336.63","2,271.32","236.63K","0.53%"
"04-02-2024","2,289.78","2,296.08","2,310.39","2,271.99","171.21K","-0.29%"
"03-02-2024","2,296.50","2,309.33","2,329.51","2,293.07","133.28K","-0.55%"
"02-02-2024","2,309.31","2,304.56","2,324.58","2,282.89","238.25K","0.22%"
"01-02-2024","2,304.28","2,283.95","2,311.36","2,240.60","310.98K","0.93%"
"31-01-2024","2,283.14","2,342.82","2,350.77","2,266.83","397.13K","-2.56%"
"30-01-2024","2,343.10","2,317.60","2,389.17","2,298.86","372.97K","1.09%"
"29-01-2024","2,317.81","2,255.22","2,320.96","2,237.67","305.41K","2.70%"
"28-01-2024","2,256.91","2,267.30","2,306.41","2,240.09","209.33K","-0.49%"
"27-01-2024","2,267.92","2,267.82","2,282.15","2,252.32","145.14K","0.02%"
